Born,90s,Gls,Ast,CrdY,CrdR,Pos_format,Player_format
1993,22,0,2,4,0,1,400
1991,37,3,1,5,0,1,401
2003,1,0,0,0,0,1,402
1997,17,0,1,3,0,1,403
1993,12,1,0,4,0,1,404
2004,2,0,0,1,0,1,405
1993,10,2,1,2,0,1,406
1992,0,0,0,0,0,1,407
2002,14,2,2,5,0,1,408
2000,4,0,0,1,0,1,409
2005,10,0,1,3,0,1,410
1993,12,4,0,4,0,1,411
1997,16,1,2,3,1,1,412
1997,34,4,0,4,0,1,413
2003,15,0,0,7,0,1,414
1992,20,1,0,7,0,1,415
1998,19,1,0,7,2,1,416
1995,27,0,0,6,0,1,417
2002,23,0,1,4,1,1,418
1997,19,1,1,5,0,1,419
1996,38,1,1,4,0,1,420
2000,6,0,0,2,0,1,421
1996,19,0,3,3,0,1,422
2000,26,4,1,5,3,1,423
2000,10,0,0,2,0,1,421
2001,6,0,0,1,0,1,424
1989,8,0,0,2,1,1,425
1993,20,0,0,4,0,1,426
1994,0,0,0,0,0,1,427
1997,6,0,0,1,0,1,428
1997,9,1,0,1,1,1,429
2001,17,1,0,6,0,1,430
1998,25,0,0,1,0,1,431
1995,20,1,2,2,0,1,432
1991,33,2,3,7,0,1,433
1992,8,0,1,2,0,1,434
1997,20,0,3,3,0,1,435
2004,1,0,0,0,0,1,436
1990,0,0,0,0,0,1,437
2002,24,1,0,3,0,1,438
1997,11,0,1,0,0,1,439
1992,25,0,3,6,0,1,440
1991,9,0,0,2,0,1,441
1992,23,0,3,1,0,1,442
2005,10,3,0,1,0,1,443
2002,16,1,2,2,0,1,444
2002,1,0,0,0,0,1,445
1999,10,0,1,3,0,1,446
1999,10,0,0,1,1,1,446
2002,8,0,0,5,0,1,447
2003,3,2,0,1,0,1,448
1998,21,2,3,4,1,1,449
2005,0,0,0,0,0,1,450
2001,16,2,2,1,0,1,451
1997,20,0,0,5,0,1,452
2001,18,0,1,4,0,1,453
1997,31,5,4,11,1,1,454
1989,8,1,0,4,0,1,455
1999,7,0,0,2,0,1,456
1996,21,1,1,6,0,1,457
1996,8,0,0,3,1,1,458
1997,23,2,4,5,0,1,459
1993,0,0,0,0,0,1,460
1999,33,2,2,4,0,1,461
1994,13,0,0,2,0,1,462
1992,33,1,1,5,0,1,463
1988,18,3,0,4,1,1,464
2005,0,0,0,0,0,1,465
2005,6,2,0,4,0,1,465
1996,31,0,0,6,0,1,466
2000,21,1,1,8,0,1,467
2003,0,0,0,0,0,1,468
2004,3,0,0,0,0,1,469
1999,36,2,3,6,0,1,470
1998,6,0,0,0,0,1,471
1990,8,1,0,3,0,1,472
2000,10,1,1,5,0,1,473
1990,20,0,2,4,1,1,474
1997,18,1,1,4,0,1,475
1989,19,0,0,3,0,1,476
1995,28,0,1,9,0,1,477
1993,9,0,1,0,0,1,478
1997,11,1,0,5,0,1,479
2004,9,1,0,2,0,1,480
1998,22,4,5,3,0,1,481
1991,4,0,0,1,0,1,482
1992,8,0,1,1,0,1,483
2001,1,0,0,0,0,1,484
2003,1,0,0,0,0,1,485
2004,2,0,0,1,0,1,486
1994,14,1,1,7,0,1,487
1997,9,0,0,2,0,1,488
1992,20,0,0,9,0,1,489
1994,13,0,0,5,0,1,490
2002,26,4,1,3,0,1,491
2001,34,2,7,4,0,1,492
2001,14,2,1,4,0,1,493
1998,28,1,2,10,0,1,494
2004,34,0,0,2,0,1,495
1999,7,0,0,0,0,1,496
1992,18,0,0,4,1,1,497
1997,9,0,2,5,0,1,498
1997,4,0,1,1,0,1,499
